full_name,nba_team,until
Kevin Durant,BRK,25
Klay Thompson,GSW,25
Jusuf Nurkic,POR,16
Andre Iguodala,MEM,25
Marvin Bagley III,SAC,19
Deandre Ayton,PHO,10
Cody Zeller,CHO,1
Jaylen Brown,BOS,20
DeMarcus Cousins,LAL,25
John Wall,WAS,25
Darius Miller,NOP,25
Gerald Green,HOU,25
Pau Gasol,POR,25
Jeremy Lamb,IND,25
Terrence Ross,ORL,3
DeAndre Jordan,BRK,14
Wilson Chandler,BRK,4
Clint Capela,ATL,25
Eric Gordon,HOU,17
Caris LeVert,BRK,11
JJ Redick,NOP,19
Goran Dragic,MIA,9
Dejounte Murray,SAS,4
Josh Hart,NOP,5
Kyrie Irving,BRK,25
Nikola Vucevic,ORL,8
Trevor Ariza,SAC,5
Ricky Rubio,PHO,15
Aaron Gordon,ORL,6
Shabazz Napier,MIN,6
Al-Farouq Aminu,ORL,25
Rodney Hood,POR,25
Delon Wright,SAC,8
Isaiah Thomas,WAS,10
Lou Williams,LAC,11
Kyle Kuzma,LAL,9
Eric Bledsoe,MIL,10
Devin Booker,PHO,9
Fred VanVleet,TOR,19
Rui Hachimura,WAS,15
Jake Layman,MIN,15
JaMychal Green,LAC,9
Pascal Siakam,TOR,12
Luke Kennard,DET,20
Kevon Looney,GSW,10
Wayne Ellington,NYK,10
Zach Collins,POR,25
David Nwaba,BRK,25
Michael Carter-Williams,ORL,11
Mario Hezonja,POR,10
Chandler Hutchison,CHI,10
Hamidou Diallo,OKC,25
Demetrius Jackson,LAL,11
Khyri Thomas,DET,25
Dennis Schroder,OKC,10
Joel Embiid,PHI,20
Tim Hardaway Jr.,DAL,11
Andrew Wiggins,MIN,11
Bradley Beal,WAS,12
Blake Griffin,DET,25
Jonathan Isaac,ORL,19
Bogdan Bogdanovic,SAC,13
Jrue Holiday,NOP,13
Wendell Carter Jr.,CHI,17
Justise Winslow,MEM,25
Anthony Davis,LAL,13
LeBron James,LAL,12
Danny Green,LAL,12
Derrick Favors,NOP,12
Richaun Holmes,SAC,19
Kenrich Williams,NOP,13
Jamal Murray,DEN,15
D.J. Augustin,ORL,17
Jeff Teague,ATL,13
Alex Len,ATL,13
Kelly Oubre Jr.,PHO,25
Rudy Gay,SAS,13
Joe Harris,BRK,13
Aron Baynes,PHO,17
Dwight Powell,DAL,25
Danilo Gallinari,OKC,14
Robin Lopez,MIL,14
Mason Plumlee,DEN,18
Enes Kanter,BOS,15
Bruno Caboclo,MEM,19
RJ Barrett,NYK,15
Malcolm Brogdon,IND,19
Marc Gasol,TOR,25
Kris Dunn,CHI,25
Jordan McRae,WAS,16
Patrick Beverley,LAC,17
Karl-Anthony Towns,MIN,19
Luka Doncic,DAL,17
Kristaps Porzingis,DAL,17
Paul George,LAC,17
Kevin Love,CLE,17
Ben Simmons,PHI,20
Jimmy Butler,MIA,17
D'Angelo Russell,MIN,17
Draymond Green,GSW,19
LaMarcus Aldridge,SAS,19
Jaren Jackson Jr.,MEM,20
Bruce Brown,DET,19
Brandon Clarke,MEM,20
Zach LaVine,CHI,19
Serge Ibaka,TOR,19
Derrick Rose,DET,25
Dorian Finney-Smith,DAL,19
Ish Smith,WAS,19
Thomas Bryant,WAS,19
Josh Richardson,PHI,19
Jakob Poeltl,SAS,25
