full_name,nba_team,until
Kevin Durant,BRK,25
Klay Thompson,GSW,25
Jusuf Nurkic,POR,16
Andre Iguodala,MEM,25
Marvin Bagley III,SAC,19
Deandre Ayton,PHO,10
Cody Zeller,CHO,1
Jimmy Butler,MIA,1
Jaylen Brown,BOS,11
DeMarcus Cousins,LAL,25
John Wall,WAS,25
Darius Miller,NOP,25
Gerald Green,HOU,25
Pau Gasol,POR,25
Stephen Curry,GSW,16
Jeremy Lamb,IND,9
Terrence Ross,ORL,3
Otto Porter Jr.,CHI,25
DeAndre Jordan,BRK,14
Wilson Chandler,BRK,4
Clint Capela,HOU,16
Eric Gordon,HOU,10
Caris LeVert,BRK,11
JJ Redick,NOP,13
Goran Dragic,MIA,9
Dejounte Murray,SAS,4
Josh Hart,NOP,5
Damian Lillard,POR,5
Kyrie Irving,BRK,17
Nikola Vucevic,ORL,8
Trevor Ariza,SAC,5
Ricky Rubio,PHO,15
Hassan Whiteside,POR,12
Aaron Gordon,ORL,6
Shabazz Napier,MIN,6
Josh Richardson,PHI,16
Al-Farouq Aminu,ORL,25
Thomas Bryant,WAS,12
Rodney Hood,POR,25
Delon Wright,SAC,8
Mike Conley,UTA,13
Isaiah Thomas,WAS,10
Lou Williams,LAC,11
Draymond Green,GSW,8
Kyle Kuzma,LAL,9
Eric Bledsoe,MIL,10
Devin Booker,PHO,9
Fred VanVleet,TOR,13
Rui Hachimura,WAS,15
Jake Layman,MIN,15
JaMychal Green,LAC,9
Pascal Siakam,TOR,12
Luke Kennard,DET,16
Kevon Looney,GSW,10
Wayne Ellington,NYK,10
Zach Collins,POR,25
David Nwaba,BRK,25
Michael Carter-Williams,ORL,11
Mario Hezonja,POR,10
Chandler Hutchison,CHI,10
Hamidou Diallo,OKC,25
Demetrius Jackson,LAL,11
Khyri Thomas,DET,25
Dennis Schroder,OKC,10
D'Angelo Russell,GSW,16
Willie Cauley-Stein,GSW,11
Jabari Parker,ATL,25
Joel Embiid,PHI,14
Tim Hardaway Jr.,DAL,11
Andrew Wiggins,MIN,11
Bradley Beal,WAS,12
Blake Griffin,DET,25
Fred VanVleet,TOR,13
Jonathan Isaac,ORL,19
Bogdan Bogdanovic,SAC,13
Jrue Holiday,NOP,13
Wendell Carter Jr.,CHI,17
Justise Winslow,MIA,25
Anthony Davis,LAL,13
LeBron James,LAL,12
Paul Millsap,DEN,16
Danny Green,LAL,12
Derrick Favors,NOP,12
Richaun Holmes,SAC,16
Kenrich Williams,NOP,13
Jamal Murray,DEN,15
D.J. Augustin,ORL,16
Jeff Teague,ATL,13
Alex Len,ATL,13
Kelly Oubre Jr.,PHO,13
Rudy Gay,SAS,13
Joe Harris,BRK,13
Aron Baynes,PHO,17
Dwight Powell,DAL,25
Danilo Gallinari,OKC,14
Lauri Markkanen,CHI,19
Robin Lopez,MIL,14
Mason Plumlee,DEN,18
Enes Kanter,BOS,15
Bruno Caboclo,MEM,19
RJ Barrett,NYK,15
Malcolm Brogdon,IND,14
Luka Doncic,DAL,16
George Hill,MIL,17
Naz Mitrou-Long,IND,25
Norman Powell,TOR,25
Marc Gasol,TOR,16
Kris Dunn,CHI,15
Jordan McRae,WAS,16
Michael Porter Jr.,DEN,16
T.J. Warren,IND,16
