Player,NewPlayer
Cori Gauff,Coco Gauff
Felix Auger Aliassime,Felix Auger-Aliassime
Alison Van Uytvanck,Alison van Uytvanck
Na Lae Han,Na-Lae Han
Marc Andrea Huesler,Marc-Andrea Huesler
Leylah Fernandez,Leylah Annie Fernandez
Luca Van Assche,Luca van Assche
Jaqueline Cristian,Jaqueline Adina Cristian
Mackenzie Mcdonald,Mackenzie McDonald
Anna Lena Friedsam,Anna-Lena Friedsam
Irina Camelia Begu,Irina-Camelia Begu
Albert Ramos,Albert Ramos-Vinolas
J J Wolf,Jeffrey John Wolf
Tung Lin Wu,Tung-Lin Wu
Alex De Minaur,Alex de Minaur
Christopher Oconnell,Christopher O'Connell
Alison Riske Amritraj,Alison Riske-Amritraj
Caty Mcnally,Catherine McNally
Soon Woo Kwon,Soonwoo Kwon
Botic Van De Zandschulp,Botic Van de Zandschulp
